h,Euler_error,Runge_Kutta_4_error,Adams_3_error
0.2,0.1339167441843172,7.589113066197584e-06,0.0013047894623929857
0.16666666666666666,0.11229313735367352,2.652275133074866e-06,0.0008882660565017186
0.14285714285714285,0.09678734257534893,1.0403752008780742e-06,0.0006195811313982613
0.125,0.08509576033421484,4.3754347300861696e-07,0.0004471324539536692
0.1111111111111111,0.07595201247121053,1.9217696212159296e-07,0.00033197284675745564
0.1,0.06859854843487168,9.68347411145487e-08,0.0002526964799711706
0.09090909090909091,0.06255295780017689,5.2771236491722107e-08,0.00019652760620658682
0.08333333333333333,0.05749281860415589,3.0469848866232496e-08,0.00015571323105900703
0.07692307692307693,0.053194150107234384,1.7855791512033647e-08,0.0001253882377394433
0.07142857142857142,0.04949635524027962,1.115624170822116e-08,0.00010241054932547122
0.06666666666666667,0.04628120002514935,9.854452143187586e-09,8.46954087783125e-05
0.0625,0.04345966408108648,1.0079859613654207e-08,7.082547970349573e-05
0.058823529411764705,0.04096341653044244,9.613907892003226e-09,5.981573407498608e-05
0.05555555555555555,0.038739119607663186,8.852023780647755e-09,5.096785753799793e-05
0.05263157894736842,0.036744520474663256,7.9958182297446e-09,4.377782299203048e-05
0.05,0.034945707539972615,7.145835922983679e-09,3.7875862948011374e-05
0.047619047619047616,0.03331514485138687,6.3494089985738356e-09,3.2986659383338335e-05
0.045454545454545456,0.03183023830086107,5.625868659819844e-09,2.8902430371235965e-05
0.043478260869565216,0.03047227274452413,4.980013734723343e-09,2.5464412305220563e-05
0.041666666666666664,0.029225612550394908,4.409370646385469e-09,2.254991077754731e-05
0.04,0.028077092318627095,3.908110501882334e-09,2.0063109477108654e-05
0.038461538461538464,0.027015546940647228,3.4691460815139408e-09,1.7928456002458404e-05
0.037037037037037035,0.0260314451400534,3.085224520305019e-09,1.608584107004596e-05
0.03571428571428571,0.02511660082158862,2.7494719834209036e-09,1.4487043031197189e-05
0.034482758620689655,0.02426394359253381,2.4556319200286225e-09,1.3093076633552414e-05
0.03333333333333333,0.023467334758159097,2.198146109577692e-09,1.1872195673889863e-05
0.03225806451612903,0.02272141860436583,1.972146890238946e-09,1.0798373819342899e-05
0.03125,0.022021501310117264,1.7734100854482904e-09,9.850138721345658e-06
0.030303030303030304,0.02136345167573306,1.5982886125698315e-09,9.00966972139372e-06
0.029411764705882353,0.02074361921158796,1.443644093157559e-09,8.262094027156053e-06
0.02857142857142857,0.020158766142964524,1.3067831261537322e-09,7.594933605581389e-06
0.027777777777777776,0.019606010646761707,1.185390230418193e-09,6.997667487684822e-06
0.02702702702702703,0.019082779212067802,1.0774792169598868e-09,6.461383070588411e-06
0.02631578947368421,0.01858676645718793,9.813401202762861e-10,5.978496625536067e-06
0.02564102564102564,0.018115901075354657,8.955025609935774e-10,5.542527908186656e-06
0.025,0.017668316844980714,8.18697554194614e-10,5.147917400138979e-06
0.024390243902439025,0.01724232784651858,7.498333065569796e-10,4.789877320332536e-06
0.023809523809523808,0.016836407190220726,6.879621317068541e-10,4.464269544923738e-06
0.023255813953488372,0.01644916868763202,6.322624646060149e-10,4.167505098795488e-06
0.022727272727272728,0.016079351002046716,5.82020653894233e-10,3.896461018282338e-06
